User_ID,Age,Gender,Occupation,Game_Type,Daily_Gaming_Hours,Weekly_Gaming_Hours,Primary_Gaming_Time,Sleep_Hours,Stress_Level,Focus_Level,Academic_or_Work_Score,Productivity_Level,Performance_Impact
U0030,24.0,Female,Working Professional,Puzzle,4.6,32.2,Morning,5.1,6.0,7.0,68.0,68.0,Negative
U0031,22.0,Female,Student,Casual,1.0,7.0,Evening,6.2,6.0,3.0,55.0,55.0,Neutral
U0032,35.0,Male,Working Professional,Simulation,3.5,24.5,Night,6.2,2.0,3.0,59.0,56.0,Neutral
U0033,24.0,Male,Student,Puzzle,1.3,9.1,Night,5.0,6.0,5.0,57.0,57.0,Neutral
U0034,31.0,Male,Student,Casual,5.4,37.8,Evening,6.1,4.0,4.0,65.0,62.0,Neutral
U0035,30.0,Male,Working Professional,Strategy,4.8,33.6,Morning,6.1,5.0,5.0,65.0,61.0,Neutral
U0036,18.0,Male,Working Professional,Puzzle,5.0,35.0,Evening,6.3,6.0,9.0,69.0,67.0,Neutral
U0037,35.0,Female,Student,Action,5.3,37.1,Evening,8.4,6.0,5.0,87.0,88.0,Neutral
U0038,31.0,Female,Working Professional,Sports,1.5,10.5,Night,8.4,6.0,3.0,61.0,65.0,Positive
,18.0,,Working Professional,Sports,5.9,41.3,Morning,,5.0,5.0,57.0,58.0,Negative
U0040,34.0,Female,Working Professional,Puzzle,5.7,39.9,Evening,8.2,7.0,8.0,62.0,61.0,Neutral
U0041,23.0,Female,Working Professional,,4.3,30.1,Morning,6.7,5.0,6.0,79.0,84.0,Neutral
U0042,24.0,Female,Student,Casual,2.2,15.4,Morning,5.3,7.0,6.0,,85.0,Neutral
U0043,27.0,Male,Student,Strategy,,14.7,Morning,7.2,7.0,3.0,70.0,75.0,Neutral
U0044,24.0,Female,Working Professional,Sports,0.8,5.6,Morning,8.4,3.0,6.0,81.0,86.0,Positive
U0045,23.0,Female,Student,Simulation,1.3,9.1,Morning,7.3,3.0,9.0,82.0,80.0,Positive
U0046,34.0,Female,Working Professional,Simulation,5.5,38.5,Night,5.0,4.0,9.0,84.0,89.0,Negative
U0047,26.0,Male,,Simulation,5.4,37.8,Evening,6.2,9.0,4.0,85.0,87.0,Neutral
U0048,26.0,Female,Working Professional,Simulation,3.9,27.3,Morning,5.6,3.0,8.0,73.0,71.0,Neutral
U0049,31.0,Female,Working Professional,Simulation,1.3,9.1,Evening,5.4,4.0,8.0,68.0,64.0,Neutral
U0050,30.0,Female,Student,Puzzle,2.8,19.6,Evening,5.3,8.0,6.0,92.0,87.0,Neutral
,25.0,Female,Student,Puzzle,4.6,32.2,Evening,7.9,8.0,7.0,89.0,93.0,Neutral
U0052,22.0,Male,Working Professional,Simulation,3.2,22.4,Night,6.1,8.0,8.0,,67.0,Neutral
U0053,19.0,Female,Working Professional,Puzzle,4.1,28.7,Morning,4.8,8.0,4.0,84.0,81.0,Negative
U0054,20.0,Female,Student,Casual,3.0,21.0,Night,5.9,8.0,5.0,81.0,80.0,Neutral
U0055,19.0,Male,Student,Strategy,0.8,5.6,Morning,8.3,,8.0,59.0,64.0,Positive
U0056,24.0,Female,Working Professional,Puzzle,3.9,27.3,Morning,5.5,9.0,8.0,62.0,66.0,Neutral
U0057,21.0,Male,Working Professional,,3.8,26.6,Night,8.4,3.0,9.0,65.0,64.0,Neutral
U0058,25.0,Male,Working Professional,Casual,,38.5,Night,6.0,5.0,3.0,92.0,97.0,Neutral
U0059,29.0,Male,Working Professional,Action,4.9,34.3,Evening,7.7,2.0,5.0,89.0,90.0,Neutral
U0060,31.0,Male,Working Professional,Simulation,5.0,35.0,Night,4.9,7.0,8.0,84.0,81.0,Negative
U0061,26.0,Female,Student,Sports,4.8,33.6,Night,6.4,6.0,5.0,70.0,66.0,Neutral
U0062,33.0,Male,Working Professional,Puzzle,3.9,27.3,Evening,6.0,2.0,6.0,75.0,72.0,Neutral
U0063,24.0,Male,Student,Casual,2.0,14.0,Evening,6.9,6.0,7.0,55.0,58.0,Neutral
U0064,18.0,Male,Working Professional,Strategy,3.2,22.4,,,9.0,8.0,,88.0,Neutral
U0065,29.0,Female,Working Professional,Puzzle,4.3,30.1,Night,5.7,7.0,6.0,90.0,93.0,Negative
U0066,21.0,Male,Student,Strategy,3.0,21.0,Night,5.7,5.0,3.0,67.0,67.0,Neutral
U0067,25.0,Female,Student,Puzzle,3.2,22.4,Morning,7.4,6.0,,,66.0,Neutral
U0068,22.0,Female,Student,Action,4.4,30.8,Night,5.0,2.0,3.0,90.0,89.0,Negative
U0069,33.0,Male,Student,Sports,2.1,14.7,Evening,6.4,7.0,4.0,58.0,57.0,Neutral
U0070,27.0,Male,Student,Action,0.9,,Night,7.0,2.0,4.0,64.0,68.0,Positive
U0071,32.0,Female,,Simulation,4.7,32.9,Evening,6.9,5.0,9.0,88.0,89.0,Neutral
U0072,24.0,Female,Student,Strategy,,15.4,Morning,7.0,3.0,9.0,68.0,73.0,Neutral
U0073,33.0,Female,Student,Strategy,1.5,10.5,Evening,4.8,2.0,6.0,83.0,87.0,Neutral
U0074,24.0,Female,Student,Simulation,4.4,30.8,Morning,7.3,9.0,3.0,69.0,68.0,Neutral
U0075,27.0,Female,Working Professional,Action,4.1,28.7,Evening,8.1,4.0,3.0,58.0,55.0,Neutral
U0076,32.0,Male,Student,Sports,4.3,30.1,Night,7.3,6.0,7.0,89.0,91.0,Neutral
U0077,18.0,Female,Student,Strategy,2.3,16.1,Evening,5.5,3.0,4.0,91.0,95.0,Neutral
U0078,33.0,Male,Working Professional,Puzzle,3.4,23.8,Evening,6.3,6.0,4.0,92.0,,Neutral
U0079,27.0,Female,Student,Sports,2.3,16.1,Morning,7.2,4.0,5.0,81.0,83.0,Neutral
U0080,35.0,Female,Working Professional,Action,2.2,15.4,Morning,5.8,8.0,9.0,87.0,82.0,Neutral
U0081,24.0,Female,Student,Puzzle,3.4,23.8,Evening,7.0,9.0,8.0,83.0,78.0,Neutral
U0082,23.0,Female,Student,Simulation,5.3,37.1,Evening,,2.0,8.0,93.0,91.0,Neutral
U0083,22.0,Female,Working Professional,Simulation,1.0,7.0,Night,8.5,,6.0,62.0,67.0,Positive
U0084,22.0,Female,Student,Simulation,2.0,14.0,Night,7.8,9.0,4.0,84.0,87.0,Positive
U0085,34.0,Female,Student,Puzzle,4.6,32.2,Night,5.0,3.0,5.0,81.0,81.0,Negative
U0086,35.0,Female,Working Professional,Puzzle,2.1,14.7,Night,6.8,9.0,9.0,64.0,66.0,Neutral
U0087,30.0,Male,Working Professional,Action,4.7,32.9,Evening,6.0,7.0,9.0,67.0,65.0,Neutral
U0088,19.0,Male,Working Professional,Action,4.6,32.2,Evening,7.3,8.0,6.0,64.0,66.0,Neutral
U0089,22.0,Male,Working Professional,Puzzle,1.0,7.0,Evening,8.1,2.0,8.0,,65.0,Positive
U0090,35.0,Female,Working Professional,Casual,3.9,27.3,Night,6.1,3.0,9.0,76.0,81.0,Neutral
U0091,27.0,Male,Student,Sports,5.4,37.8,Morning,6.5,2.0,7.0,59.0,57.0,Neutral
U0092,18.0,Male,,Action,4.7,32.9,Evening,7.3,3.0,6.0,65.0,64.0,Neutral
U0093,23.0,Male,Student,Action,,17.5,Night,6.2,5.0,7.0,,85.0,Neutral
U0094,25.0,Female,Working Professional,Sports,5.3,37.1,Evening,7.0,5.0,,92.0,89.0,Neutral
U0095,20.0,Female,Working Professional,Simulation,4.2,29.4,Evening,8.1,9.0,5.0,89.0,86.0,Neutral
U0096,30.0,Female,Student,Strategy,4.0,28.0,Evening,6.2,6.0,6.0,74.0,72.0,Neutral
U0097,18.0,Male,Working Professional,Puzzle,3.6,25.2,Morning,6.8,6.0,3.0,80.0,79.0,Neutral
U0098,22.0,Male,Student,Puzzle,3.8,26.6,Evening,5.9,5.0,7.0,71.0,76.0,Neutral
,31.0,Male,Student,Strategy,,4.9,Night,6.0,4.0,3.0,73.0,73.0,Neutral
U0100,33.0,Female,Working Professional,Action,5.3,37.1,Evening,6.0,6.0,9.0,65.0,64.0,Neutral
U0101,29.0,Male,Working Professional,Action,5.8,40.6,Evening,5.1,5.0,9.0,80.0,83.0,Negative
U0102,29.0,Male,Student,Sports,3.5,24.5,Morning,6.3,6.0,7.0,79.0,84.0,Neutral
U0103,,Female,Working Professional,Casual,3.9,27.3,Evening,8.3,7.0,7.0,69.0,74.0,Neutral
U0104,21.0,Male,Student,Sports,1.1,7.7,Evening,4.7,2.0,5.0,86.0,82.0,Neutral
U0105,21.0,Female,Working Professional,Puzzle,2.5,17.5,Morning,8.3,8.0,7.0,64.0,65.0,Neutral
U0106,29.0,Female,Student,Sports,4.3,30.1,Evening,5.4,9.0,4.0,78.0,74.0,Negative
,18.0,Male,Working Professional,Strategy,1.5,10.5,Morning,5.0,9.0,3.0,68.0,73.0,Neutral
U0108,28.0,Male,Student,,4.8,33.6,Morning,5.3,5.0,7.0,,66.0,Negative
U0109,18.0,Female,Student,Simulation,5.9,,Evening,6.7,4.0,3.0,56.0,53.0,Neutral
U0110,21.0,Male,Working Professional,Sports,0.6,4.2,Evening,5.6,4.0,8.0,81.0,84.0,Neutral
U0111,34.0,Female,Working Professional,Casual,3.3,23.1,Morning,4.9,5.0,7.0,57.0,62.0,Neutral
U0112,32.0,Male,Student,Puzzle,0.8,5.6,Night,6.4,8.0,6.0,61.0,,Neutral
U0113,27.0,Female,Working Professional,Action,1.3,9.1,Night,5.0,7.0,6.0,93.0,96.0,Neutral
U0114,31.0,Female,Working Professional,Sports,1.1,7.7,Evening,7.1,5.0,6.0,83.0,81.0,Positive
U0115,22.0,Female,Student,Action,,31.5,Morning,5.8,7.0,8.0,71.0,71.0,Negative
U0116,19.0,Female,Student,Sports,1.0,7.0,Evening,4.9,7.0,9.0,63.0,66.0,Neutral
U0117,27.0,Female,Student,Simulation,5.3,37.1,Night,8.3,8.0,9.0,58.0,57.0,Neutral
U0118,35.0,Female,Student,Puzzle,1.7,11.9,Night,7.1,5.0,9.0,61.0,61.0,Positive
U0119,23.0,Female,Working Professional,Puzzle,1.7,11.9,Evening,6.2,2.0,7.0,72.0,67.0,Neutral
U0120,,Male,Student,Sports,0.5,3.5,Evening,8.0,8.0,3.0,64.0,69.0,Positive
,20.0,Male,Student,Strategy,3.0,21.0,Night,5.1,6.0,8.0,75.0,79.0,Neutral
,,Female,Working Professional,Strategy,0.8,5.6,Night,4.8,9.0,8.0,82.0,84.0,Neutral
,34.0,Female,Student,Strategy,1.1,7.7,Evening,6.2,6.0,8.0,92.0,94.0,Neutral
U0124,26.0,Female,Working Professional,Action,5.9,41.3,Morning,4.7,5.0,5.0,68.0,65.0,Negative
U0125,34.0,Female,Student,Sports,3.2,22.4,Night,6.2,4.0,6.0,89.0,87.0,Neutral
U0126,31.0,Female,,Puzzle,0.7,4.9,Morning,4.6,3.0,9.0,75.0,79.0,Neutral
U0127,29.0,Male,Working Professional,Action,2.7,18.9,Morning,8.4,4.0,9.0,94.0,96.0,Neutral
U0128,25.0,Female,Student,Action,2.9,20.3,Night,6.1,3.0,6.0,74.0,,Neutral
U0129,22.0,Male,,Strategy,4.0,28.0,Evening,6.6,5.0,9.0,77.0,77.0,Neutral
U0130,32.0,Female,Working Professional,Casual,1.6,11.2,Evening,6.9,3.0,4.0,95.0,97.0,Neutral
U0131,19.0,Female,Student,Puzzle,1.3,9.1,Evening,4.8,9.0,8.0,74.0,73.0,Neutral
U0132,34.0,Female,Working Professional,Simulation,3.0,21.0,Night,4.7,6.0,3.0,60.0,,Neutral
U0133,24.0,,,Simulation,5.7,39.9,Morning,7.5,2.0,6.0,91.0,96.0,Neutral
,23.0,Male,Student,Casual,5.8,,Evening,6.3,7.0,8.0,60.0,63.0,Neutral
U0135,30.0,Female,Working Professional,Casual,6.0,42.0,Night,6.6,4.0,5.0,78.0,77.0,Neutral
U0136,35.0,Female,Working Professional,Puzzle,0.8,5.6,Night,7.0,7.0,3.0,76.0,72.0,Positive
U0137,22.0,Female,Working Professional,Casual,5.2,36.4,Night,8.4,4.0,5.0,60.0,64.0,Neutral
U0138,28.0,Male,Student,Casual,4.1,28.7,Night,5.0,3.0,5.0,90.0,91.0,Negative
U0139,28.0,Female,Student,Strategy,2.8,19.6,Morning,5.9,7.0,5.0,66.0,64.0,Neutral
U0140,19.0,Female,Student,Simulation,1.4,9.8,,5.7,3.0,7.0,89.0,92.0,Neutral
U0141,31.0,Female,Student,,1.3,9.1,Night,5.2,4.0,8.0,83.0,78.0,Neutral
U0142,27.0,Female,Student,Puzzle,2.1,14.7,Night,7.5,9.0,4.0,89.0,87.0,Neutral
U0143,34.0,Female,Student,Strategy,5.7,39.9,Night,8.4,9.0,9.0,73.0,74.0,Neutral
U0144,21.0,Male,Working Professional,Action,1.3,9.1,Morning,5.5,9.0,9.0,78.0,81.0,Neutral
U0145,25.0,Female,Working Professional,Action,2.0,14.0,Evening,,4.0,9.0,82.0,78.0,Positive
U0146,25.0,Male,Working Professional,Action,0.8,5.6,Night,6.5,5.0,6.0,60.0,60.0,Neutral
U0147,22.0,,Working Professional,Simulation,4.1,28.7,Morning,7.7,4.0,3.0,73.0,75.0,Neutral
U0148,34.0,Female,Student,Puzzle,,38.5,Morning,4.6,5.0,9.0,64.0,67.0,Negative
U0149,20.0,Male,Working Professional,Simulation,2.2,15.4,Night,4.7,8.0,8.0,94.0,96.0,Neutral
,31.0,Male,Working Professional,Strategy,0.6,4.2,Night,6.6,5.0,8.0,,63.0,Neutral
U0151,34.0,Male,Working Professional,Sports,2.8,19.6,Morning,7.2,3.0,7.0,78.0,74.0,Neutral
U0152,20.0,Female,Student,Casual,4.0,28.0,,8.4,6.0,8.0,56.0,,Neutral
U0153,35.0,Female,Student,Casual,4.0,28.0,Evening,7.6,7.0,4.0,57.0,57.0,Neutral
U0154,32.0,Male,Working Professional,Strategy,5.9,41.3,Morning,6.4,4.0,9.0,63.0,59.0,Neutral
U0155,35.0,Female,Working Professional,Action,4.9,34.3,Night,8.0,7.0,5.0,87.0,88.0,Neutral
U0156,21.0,Female,Working Professional,Sports,1.6,11.2,Night,5.9,2.0,9.0,76.0,75.0,Neutral
U0157,29.0,,Student,Casual,2.9,20.3,Evening,8.3,7.0,4.0,86.0,88.0,Neutral
U0158,21.0,Male,Working Professional,Casual,0.9,6.3,Evening,6.9,4.0,7.0,73.0,73.0,Neutral
U0159,32.0,Male,Working Professional,Simulation,2.2,15.4,Evening,6.9,8.0,4.0,83.0,83.0,Neutral
U0160,29.0,Male,Student,Strategy,2.0,,Night,8.4,2.0,3.0,95.0,96.0,Positive
U0161,29.0,Female,Working Professional,Simulation,4.2,29.4,Morning,6.3,4.0,3.0,70.0,75.0,Neutral
U0162,22.0,Female,Working Professional,Puzzle,3.8,26.6,Night,7.2,7.0,5.0,83.0,79.0,Neutral
U0163,34.0,Female,Student,Puzzle,2.0,14.0,Evening,8.3,2.0,8.0,66.0,68.0,Positive
U0164,21.0,Male,Student,Sports,4.4,30.8,Morning,5.4,6.0,8.0,86.0,84.0,Negative
U0165,29.0,Male,Working Professional,Puzzle,5.4,37.8,Morning,6.3,3.0,9.0,75.0,80.0,Neutral
,25.0,Male,,Strategy,4.4,30.8,Morning,8.2,4.0,9.0,78.0,81.0,Neutral
U0167,20.0,Male,Working Professional,Sports,4.8,33.6,Night,4.6,7.0,6.0,90.0,87.0,Negative
U0168,22.0,Female,Student,Sports,4.5,31.5,Evening,6.6,8.0,9.0,91.0,87.0,Neutral
U0169,34.0,Male,Student,Simulation,4.2,29.4,Morning,5.9,4.0,9.0,63.0,64.0,Negative
U0170,20.0,Female,Student,Casual,2.2,15.4,Night,5.1,5.0,5.0,88.0,87.0,Neutral
U0171,22.0,Male,Working Professional,Simulation,2.0,14.0,Morning,7.0,3.0,7.0,65.0,69.0,Positive
U0172,24.0,Female,Student,Sports,5.0,35.0,Night,4.6,2.0,,91.0,90.0,Negative
U0173,30.0,Female,Working Professional,Action,3.5,24.5,Night,7.1,6.0,6.0,70.0,75.0,Neutral
U0174,,Female,Working Professional,Casual,0.8,5.6,Evening,6.3,9.0,6.0,68.0,68.0,Neutral
U0175,28.0,Male,Working Professional,Action,5.9,41.3,Evening,5.0,7.0,7.0,90.0,86.0,Negative
U0176,31.0,Male,Student,Puzzle,3.0,,Night,5.1,2.0,5.0,79.0,83.0,Neutral
U0177,33.0,,Working Professional,Action,4.5,31.5,Morning,5.3,4.0,6.0,87.0,89.0,Negative
U0178,19.0,Male,Working Professional,Sports,5.7,39.9,Night,6.5,5.0,4.0,92.0,92.0,Neutral
U0179,21.0,Female,Student,Puzzle,5.4,37.8,Night,7.1,9.0,5.0,89.0,,Neutral
U0180,35.0,Male,Working Professional,Simulation,2.5,17.5,Evening,6.1,2.0,6.0,58.0,62.0,Neutral
U0181,21.0,Male,Student,Sports,0.9,,Evening,6.5,6.0,9.0,94.0,99.0,Neutral
U0182,34.0,Female,Student,Action,4.9,34.3,Morning,5.9,7.0,9.0,,62.0,Negative
U0183,34.0,Male,Working Professional,Simulation,1.3,9.1,Evening,5.8,,7.0,,81.0,Neutral
U0184,34.0,Female,Working Professional,Sports,1.4,9.8,Morning,8.5,6.0,7.0,76.0,,Positive
U0185,18.0,Female,Working Professional,Casual,2.5,17.5,Night,7.2,8.0,7.0,,79.0,Neutral
U0186,30.0,Male,Student,Action,3.7,25.9,Night,7.4,9.0,4.0,88.0,93.0,Neutral
U0187,22.0,Female,Student,Sports,5.7,39.9,Night,4.9,2.0,6.0,75.0,76.0,
U0188,24.0,Female,Working Professional,Simulation,4.8,33.6,Evening,8.2,2.0,8.0,63.0,66.0,Neutral
U0189,26.0,Female,Student,Strategy,2.2,15.4,Evening,5.2,7.0,7.0,77.0,82.0,Neutral
U0190,33.0,Female,Working Professional,Puzzle,3.6,25.2,Night,5.4,6.0,9.0,73.0,71.0,Neutral
U0191,35.0,Female,Working Professional,,5.6,39.2,Morning,7.7,6.0,5.0,62.0,66.0,Neutral
U0192,26.0,Female,Student,Strategy,2.1,14.7,Night,5.7,3.0,,83.0,88.0,Neutral
U0193,25.0,,Student,Casual,2.0,14.0,Night,6.7,6.0,4.0,61.0,65.0,Neutral
U0194,21.0,Male,Student,Simulation,1.7,11.9,Morning,5.4,3.0,6.0,76.0,78.0,Neutral
U0195,28.0,Female,Student,Action,2.7,18.9,Night,8.2,9.0,6.0,67.0,66.0,Neutral
U0196,19.0,Female,Working Professional,Strategy,3.7,25.9,Night,6.6,2.0,,81.0,78.0,Neutral
,21.0,,Working Professional,Sports,5.8,40.6,Night,8.2,2.0,3.0,74.0,78.0,Neutral
U0198,26.0,Male,Student,Puzzle,3.5,24.5,Morning,6.5,4.0,9.0,87.0,89.0,Neutral
U0199,24.0,Male,Working Professional,Sports,4.5,31.5,Night,7.1,4.0,3.0,76.0,75.0,Neutral
U0200,28.0,Male,Student,Puzzle,2.3,16.1,Evening,6.1,3.0,4.0,63.0,65.0,Neutral
U0201,18.0,Female,Working Professional,Casual,1.8,,Morning,7.5,7.0,5.0,92.0,96.0,Positive
U0202,34.0,Female,Student,Casual,0.8,5.6,Evening,5.0,6.0,4.0,80.0,85.0,Neutral
U0203,29.0,Female,Working Professional,Simulation,2.5,17.5,Night,5.4,4.0,6.0,64.0,66.0,Neutral
U0204,29.0,Male,Student,Action,5.0,35.0,Night,7.5,3.0,,83.0,86.0,Neutral
U0205,32.0,Male,Student,Casual,5.5,38.5,Night,5.3,4.0,4.0,75.0,78.0,Negative
U0206,22.0,Female,Working Professional,Simulation,3.2,22.4,Morning,8.1,9.0,9.0,58.0,60.0,Neutral
U0207,26.0,Male,Student,Simulation,3.6,25.2,Morning,7.2,6.0,8.0,56.0,57.0,Neutral
U0208,33.0,Male,Working Professional,Sports,0.7,4.9,Morning,5.9,3.0,7.0,58.0,54.0,Neutral
U0209,30.0,Female,Student,Casual,4.7,32.9,Night,7.6,8.0,5.0,79.0,81.0,Neutral
U0210,30.0,Male,Student,,5.3,37.1,Morning,5.0,7.0,3.0,66.0,69.0,Negative
U0211,25.0,Female,Working Professional,Strategy,5.9,41.3,Evening,6.4,8.0,7.0,79.0,77.0,Neutral
U0212,18.0,Male,Student,Action,1.5,10.5,Morning,8.0,3.0,3.0,81.0,85.0,Positive
U0213,32.0,Male,Student,Action,3.8,26.6,Morning,6.3,2.0,4.0,57.0,58.0,Neutral
U0214,28.0,Male,Working Professional,Strategy,3.3,23.1,Night,5.7,7.0,7.0,93.0,98.0,Neutral
U0215,23.0,Female,Working Professional,Action,3.4,23.8,Evening,6.2,6.0,3.0,90.0,94.0,Neutral
U0216,22.0,Female,Working Professional,Strategy,5.7,39.9,Night,7.2,7.0,8.0,81.0,82.0,Neutral
,19.0,Female,Working Professional,Simulation,3.1,21.7,Night,7.9,6.0,9.0,64.0,66.0,Neutral
U0218,29.0,Male,Student,Action,1.2,8.4,Evening,5.5,5.0,5.0,60.0,62.0,Neutral
U0219,35.0,Male,Working Professional,Strategy,2.6,18.2,Evening,6.9,2.0,9.0,59.0,57.0,Neutral
,25.0,Male,Working Professional,Strategy,2.2,15.4,Night,8.1,5.0,4.0,62.0,64.0,Neutral
U0221,26.0,Female,Working Professional,Sports,2.3,16.1,Morning,5.6,9.0,7.0,77.0,76.0,Neutral
U0222,31.0,Male,Student,Casual,4.9,34.3,Morning,7.4,7.0,4.0,78.0,78.0,Neutral
U0223,28.0,Male,Working Professional,Simulation,0.6,4.2,Morning,6.7,8.0,5.0,64.0,62.0,Neutral
U0224,33.0,Female,Student,Casual,3.2,22.4,Evening,7.1,7.0,5.0,86.0,91.0,Neutral
U0225,19.0,Male,Student,Casual,1.4,9.8,Morning,7.4,9.0,4.0,89.0,94.0,Positive
U0226,24.0,,Working Professional,Action,4.7,32.9,Night,6.1,5.0,3.0,64.0,59.0,Neutral
U0227,18.0,Female,Student,,4.0,28.0,Night,8.2,9.0,8.0,86.0,81.0,Neutral
U0228,31.0,Male,Student,Action,4.5,,Night,6.6,6.0,3.0,87.0,92.0,Neutral
U0229,,,Working Professional,Sports,1.3,9.1,Evening,5.3,6.0,9.0,77.0,76.0,Neutral
U0230,19.0,Male,,Sports,3.6,25.2,Evening,8.5,5.0,5.0,60.0,65.0,Neutral
U0231,33.0,Female,Working Professional,Simulation,3.5,24.5,Morning,4.7,2.0,8.0,65.0,61.0,Neutral
U0232,26.0,Male,,Casual,5.4,,Evening,8.2,5.0,4.0,91.0,93.0,Neutral
U0233,24.0,Male,Working Professional,Action,5.4,37.8,Evening,6.8,2.0,4.0,75.0,70.0,Neutral
U0234,30.0,Male,Student,Simulation,1.4,9.8,Night,5.5,8.0,,89.0,89.0,Neutral
U0235,30.0,Female,Student,Casual,5.9,41.3,Evening,4.7,8.0,4.0,59.0,59.0,Negative
U0236,31.0,Male,Working Professional,Action,4.8,33.6,Night,6.3,5.0,5.0,90.0,91.0,Neutral
,30.0,Male,Working Professional,Puzzle,2.1,14.7,Evening,5.5,3.0,3.0,72.0,69.0,Neutral
U0238,21.0,Male,Student,Strategy,1.1,7.7,Evening,4.5,6.0,6.0,78.0,77.0,Neutral
U0239,29.0,Male,Working Professional,Sports,3.0,21.0,Morning,6.7,8.0,3.0,56.0,,Neutral
U0240,,Male,Working Professional,Strategy,2.1,14.7,Morning,6.1,3.0,8.0,90.0,88.0,Neutral
U0241,26.0,Female,Working Professional,Sports,2.0,14.0,,5.6,4.0,3.0,65.0,66.0,Neutral
U0242,32.0,Male,Student,Puzzle,2.5,17.5,Morning,,9.0,7.0,94.0,92.0,Neutral
U0243,28.0,Female,Student,Puzzle,5.7,39.9,,5.8,8.0,9.0,76.0,78.0,Negative
U0244,28.0,Female,Working Professional,Simulation,3.8,26.6,Morning,7.3,9.0,5.0,66.0,67.0,Neutral
U0245,24.0,Male,Student,Casual,2.3,16.1,Evening,5.6,8.0,5.0,62.0,66.0,Neutral
U0246,33.0,Male,Working Professional,Strategy,5.7,39.9,Evening,5.3,6.0,9.0,59.0,60.0,Negative
U0247,33.0,Female,Working Professional,Simulation,4.1,28.7,Morning,7.4,8.0,3.0,83.0,87.0,Neutral
U0248,29.0,Male,Student,Simulation,4.8,33.6,Night,5.9,3.0,3.0,70.0,,Negative
U0249,18.0,Male,Working Professional,Strategy,4.2,29.4,Night,6.1,7.0,,82.0,78.0,Neutral
U0250,32.0,Male,Working Professional,Action,4.6,32.2,Evening,6.7,5.0,6.0,78.0,79.0,Neutral
